,alpha,delta,beta,gamma,state,channel,subject
136,0.091984820438221,0.1310237286464453,0.0578723451772625,0.02799095702552,unfocused,FC5,subject_25
137,0.0283360616940846,0.0398506621081428,0.0363470221576145,0.0140816009931347,drowsy,FC5,subject_25
138,0.3239115519290154,2.3828330520282743,0.1307519162239019,0.050912286318063,focused,T7,subject_25
139,0.0552151051001907,0.0636708244119694,0.0294183154792,0.0175263795218672,unfocused,T7,subject_25
140,0.0584169678394726,0.0224946288890016,0.0371529650503833,0.0212806899636351,drowsy,T7,subject_25
141,7.111670082373843,20.489268217782755,0.6836475716533768,0.151108976218458,focused,P7,subject_25
142,7.384275160131274,25.56711947800036,0.720749968445642,0.0585168838684459,unfocused,P7,subject_25
143,1.3931121433191274,20.352697991254512,0.3384637105942142,0.0470607976180649,drowsy,P7,subject_25
144,4.8744925981743386,65.71474066746586,1.5173548434421456,0.2060016655074998,focused,O1,subject_25
145,13.777918509481347,26.924781090638795,1.1885553023304989,0.1802654021168366,unfocused,O1,subject_25
146,5.123708399562892,59.55753441661479,1.3364577660259214,0.0664593851942034,drowsy,O1,subject_25
147,5.968476551076671,42.82749897386747,1.2510069933548584,0.1985556096175643,focused,O2,subject_25
148,14.90730239278109,19.54170290445296,1.281939526800961,0.1471652193843241,unfocused,O2,subject_25
149,5.532558493267601,60.79943716967504,1.3327073872609774,0.0922060827806758,drowsy,O2,subject_25
150,4.554773312817738,23.141299634057383,1.0252476610400827,0.1832519581853205,focused,P8,subject_25
151,17.759183715099784,10.58580687407101,3.1284128770795108,0.1146306596833276,unfocused,P8,subject_25
152,7.1153885998716175,195.20387486366832,1.9520540794254548,0.2271555286688646,drowsy,P8,subject_25
153,0.9815917712329512,1.1055438801141804,0.4678359033635862,0.0851022177214424,focused,T8,subject_25
154,0.4296242550166634,0.2473539525941131,0.125476286978312,0.0743611431998872,unfocused,T8,subject_25
155,0.0392420853416815,0.4699553333176051,0.0182832892912284,0.0053437750775243,drowsy,T8,subject_25
156,3.153235856892965,4.002589498655595,0.4449552520183601,0.0948739490879511,focused,FC6,subject_25
157,0.0991971037849795,0.092949866584637,0.090272706929127,0.0289621622668545,unfocused,FC6,subject_25
158,0.0589800771376884,0.0419052119932941,0.0372017591403347,0.0247732466505321,drowsy,FC6,subject_25
159,0.141504988982264,0.0686269984407981,0.0843226912904548,0.0228899115167222,focused,F4,subject_25
160,0.1372181368422149,0.0772886902425657,0.1730300687830119,0.0867661124159373,unfocused,F4,subject_25
161,0.0,0.0,0.0,0.0,drowsy,F4,subject_25
162,0.1050095767143301,0.3140753559899606,0.0640413714113688,0.0329891558845458,focused,F8,subject_25
163,0.0358440265200953,0.0393874546390773,0.043565386927922,0.0221422031247124,unfocused,F8,subject_25
164,0.0023197037309891,0.0885268005641412,0.0009987461055111,0.0002771522324117,drowsy,F8,subject_25
165,2.8278639801207275,123.16997323568005,0.6683005607953746,0.1302964018358113,focused,AF4,subject_25
166,11.65790925260946,48.83838894219282,0.7892078456783316,0.0817000434922257,unfocused,AF4,subject_25
167,2.966943333456276,31.315801780451466,0.7724847373169159,0.1084103191384345,drowsy,AF4,subject_25
168,0.1866761421219825,0.6403685115113881,0.2168053609321172,0.0637720416052026,focused,AF3,subject_33
169,0.1627583895815364,0.3955587498460783,0.114759085408495,0.0686261702792557,unfocused,AF3,subject_33
170,0.2583800754231787,6.034582163108965,0.1223786428527906,0.0575795582072329,drowsy,AF3,subject_33
171,2.1105619847458685,7.948146939765769,0.7881246651674482,0.1323623396637818,focused,F7,subject_33
172,3.255100331535494,19.51490931399443,0.4242085921746075,0.0691657671558418,unfocused,F7,subject_33
173,57.8596456253008,61.60399934268302,1.5639445039109414,0.21446470889861,drowsy,F7,subject_33
174,9.510048916320429,786.3850999372364,3.4159565555798186,0.936982648760388,focused,F3,subject_33
175,3.7810852697075377,19.881518922787297,0.4746466680760819,0.0930569660251577,unfocused,F3,subject_33
176,27.518681381342468,27.07382610201628,0.8855274952204034,0.1166156188544473,drowsy,F3,subject_33
177,2.0630153897559707,6.375669874617754,0.417062503488654,0.0783690787595419,focused,FC5,subject_33
178,0.283994275317434,0.4590327861538545,0.1411552208464347,0.0529401175360368,unfocused,FC5,subject_33
179,1.317113789931547,3.5088413561927423,0.2623589590892874,0.1629881223816801,drowsy,FC5,subject_33
180,0.8078602873777042,2.092312200582873,0.3555926662250948,0.1016147515285819,focused,T7,subject_33
181,0.0552345085036115,0.3102393251262452,0.0238935531840087,0.0132265096711958,unfocused,T7,subject_33
182,0.0971080846424028,0.2618078657257864,0.0681111405618227,0.0311300665382607,drowsy,T7,subject_33
183,21.57499055574185,2933.818632540226,7.587283067939535,2.111891895176737,focused,P7,subject_33
184,2.961332405411292,39.84310625708234,0.4176849317820212,0.1099905049152453,unfocused,P7,subject_33
185,42.404878160021134,29.59813434840008,1.1898041670773676,0.1780789879379712,drowsy,P7,subject_33
186,2.028743473782254,82.0138055414508,0.8080851191167392,0.2553544571814284,focused,O1,subject_33
187,3.853496725726212,46.45620870553155,0.6129646830987951,0.0966680730877241,unfocused,O1,subject_33
188,71.83364394829621,100.16536729606152,1.8785461240315289,0.2841807971748644,drowsy,O1,subject_33
189,3.239331955892839,20.20559240541736,1.280036052215711,0.3273575357544026,focused,O2,subject_33
190,3.782818606866481,70.96694717552333,0.6627802023728441,0.0945654171695463,unfocused,O2,subject_33
191,50.02997866321248,83.95021995766692,1.8876752963775207,0.2399779055625752,drowsy,O2,subject_33
192,2.5271550070106064,18.188325013293685,0.9125457510605772,0.2135023955498382,focused,P8,subject_33
193,3.332125259320532,27.946253847872093,0.4596067301017741,0.115303365923974,unfocused,P8,subject_33
194,52.38945851581012,111.17770081175888,2.2205062647874594,0.249699887102568,drowsy,P8,subject_33
195,0.2381550313763047,0.3455240483366014,0.1894058485290288,0.0496751106844168,focused,T8,subject_33
196,0.1751554707101793,0.5030877058315479,0.0903173514657892,0.0300401423378308,unfocused,T8,subject_33
197,0.2009827520620097,0.9871414525257516,0.1376626299910935,0.0680522117251493,drowsy,T8,subject_33
198,0.0279182267885649,0.1201646788754918,0.015334688998216,0.0057029889668565,focused,FC6,subject_33
199,0.0164866276443646,0.1039727627406018,0.0139318798523818,0.0036554128766885,unfocused,FC6,subject_33
200,0.4176719410800348,0.3658783294155124,0.3106186711833278,0.1358564417577932,drowsy,FC6,subject_33
201,0.1018208391036602,0.0963926486513513,0.0819106002539204,0.023896373423305,focused,F4,subject_33
202,0.1186157261214759,0.0991080842482045,0.1744552486174598,0.0679131235532783,unfocused,F4,subject_33
203,0.0636938162893279,0.1642479781945085,0.1922853763328086,0.0694036073470529,drowsy,F4,subject_33
204,0.1926156282951847,0.3666727875820666,0.1070653859816834,0.0484201098431529,focused,F8,subject_33
205,0.0311421378683277,0.1112826089022855,0.0589863685763091,0.0299253755617711,unfocused,F8,subject_33
206,0.0763752168498346,0.3029773918437691,0.0430016123624454,0.0268730973732667,drowsy,F8,subject_33
207,1.6406612055397656,87.33665149131515,0.898445452198948,0.211915384554501,focused,AF4,subject_33
208,3.6398727447592742,38.01455696144377,0.3573719392183619,0.0897883976781739,unfocused,AF4,subject_33
209,28.23692439616147,62.23353338698932,1.2276031432189594,0.137829317165345,drowsy,AF4,subject_33
